invariant_id,name,source_lines,local_question,duplicate_gate_notes,quality_gate_notes
opi-001,Pause gate covers prove and finalize,OptimismPortal2.sol lines 368-377 and 542-549,Can any withdrawal proof or finalization path bypass `_assertNotPaused()`?,Not a claim unless bypass is concrete and not a privileged-only/admin scenario.,"Requires exact call path, affected state, and local reproduction plan."
opi-002,Unsafe targets remain blocked,"OptimismPortal2.sol lines 379-382, 563-566, and 774-778","Can a withdrawal reach the portal itself, ETHLockbox, or an equivalent unsafe target through an alternate path?",Must avoid the documented direct-implementation stranded-funds issue unless a new bypass exists.,Needs target classification and proof of direct protocol impact.
opi-003,Dispute game eligibility is complete,OptimismPortal2.sol lines 389-407 and 650-653,Are all invalid dispute-game states rejected both during proof and finalization readiness checks?,Must clear op-dispute-mon and proof-of-whale exclusions before promotion.,Needs exact game state matrix and local fixture plan.
opi-004,Output-root and withdrawal inclusion binding,OptimismPortal2.sol lines 437-471,Can output-root proof data and withdrawal storage proof data become inconsistent without reverting?,Must avoid upstream/known fault-proof issue overlap.,Needs local proof data fixture and expected revert/success assertions.
opi-005,Proof submitter isolation,OptimismPortal2.sol lines 421-485 and 620-623,Can one proof submitter reset block or finalize another submitter's valid withdrawal proof unexpectedly?,Check existing multiple-proof design rationale before any claim.,Needs per-submitter state transition table.
opi-006,Replay protection before external call,OptimismPortal2.sol lines 568-575 and 625-628,Is `finalizedWithdrawals` always set before external target execution and can any revert/estimation path unwind assumptions?,Do not claim generic reentrancy without a concrete bypass of replay and l2Sender guards.,Needs local target-call fixture plan.
opi-007,l2Sender guard and reset,OptimismPortal2.sol lines 556-595,Can `l2Sender` remain non-default or be observed incorrectly across nested/failing finalization paths?,Privileged or target-contract-only behavior is not enough without direct in-scope impact.,Needs success/failure target matrix and state assertions.
opi-008,ETHLockbox accounting on failed withdrawal target call,OptimismPortal2.sol lines 578-606 and 730-734,"When ETHLockbox mode is enabled, is ETH unlocked, used, and re-locked correctly across failed calls?",Must distinguish direct accounting bug from chain/operator configuration issue.,Needs local accounting invariant and failure-path fixture plan.
opi-009,Deposit gas and calldata bounds,OptimismPortal2.sol lines 667-720,"Do minimum gas, calldata length, creation target, and address aliasing checks prevent unpaid or misattributed L2 resource usage?",Large data/gas griefing is a documented exclusion unless a distinct new impact exists.,Needs paid-resource and bounds-analysis memo.
opi-010,Custom gas token value restriction,"OptimismPortal2.sol lines 384-387, 551-554, 678-680, and 742-748",Are ETH value paths fully blocked when custom gas token mode is active?,Configuration-only claims are weak unless they show direct protocol code impact.,Needs mode matrix and value-flow proof plan.
