gate_id,name,category,status,required_evidence,fail_condition
srg-001,Program terms freshness,source_freshness,required_before_candidate_review,"Candidate report includes current Immunefi rules, Optimism information page, Optimism scope page, and retrieval timestamp.","Any report uses stale or uncited program terms."
srg-002,Asset in scope,scope,hard_stop_if_missing,"Candidate maps the affected component to the Optimism asset scope table and category.","Affected asset is missing, third-party-only, retired, or not tied to an in-scope Optimism asset."
srg-003,Impact in scope,scope,hard_stop_if_missing,"Candidate maps the alleged impact to an explicit Optimism in-scope impact and Immunefi severity class.","Impact is inferred, best-practice-only, purely theoretical, or listed as out of scope."
srg-004,Known issue and duplicate clearance,duplicate_control,hard_stop_if_uncleared,"Candidate passes optimism-known-issue-duplicate-matrix-v1 controls with row-level notes.","Candidate overlaps known issue tables, duplicate routes, public disclosures, upstream-only routes, or default out-of-scope rows."
srg-005,No prohibited testing,safety,hard_stop_for_autonomous_agent,"Candidate proof plan is local-only and explicitly excludes mainnet, public testnet, automated target traffic, DoS, phishing, and third-party systems.","Proof depends on live target interaction or any prohibited activity."
srg-006,Runnable local PoC plan,proof,required_before_report_draft,"Candidate includes a runnable local PoC or a precise local PoC build plan with commands, fixtures, expected output, and failure mode.","PoC is only prose, pseudocode, screenshots, or a contract dump."
srg-007,Exploitability and preconditions,proof,required_before_report_draft,"Candidate states attacker capabilities, required privileges, chain state assumptions, timing assumptions, and any unusual user interaction.","Exploit requires unstated privileged access, unrealistic oracle behavior, governance capture, or unproven environment control."
srg-008,Economic impact quantification,impact,required_before_severity_claim,"Candidate estimates direct funds at risk, affected assets, impacted users/protocols, and maximum plausible damage.","Impact is not quantified or selected impact does not match evidence."
srg-009,Severity classification alignment,impact,required_before_severity_claim,"Candidate maps impact to Immunefi v2.3 severity language and Optimism reward category without overstating severity.","Severity is misclassified, exaggerated, or mismatched to impact/asset category."
srg-010,Minimal reproduction and logs,proof,required_before_report_draft,"Candidate records exact reproduction steps, local command output, logs, diffs, traces, or state assertions.","Reviewer cannot reproduce the issue from local artifacts."
srg-011,Root cause and affected code path,analysis,required_before_report_draft,"Candidate identifies the vulnerable code path, invariant violation, missing check, or protocol design failure.","Report only shows symptoms or broad suspicion."
srg-012,Remediation guidance,analysis,required_before_report_draft,"Candidate proposes a specific mitigation, patch direction, or invariant to enforce.","No actionable recommendation or recommendation breaks intended behavior."
srg-013,Report quality structure,report_quality,required_before_submission_packet,"Draft has title, summary, affected asset, vulnerability details, impact, risk breakdown, PoC, remediation, references, and scope notes.","Draft is vague, three-line, AI-spray-like, missing runnable proof, or not in English."
srg-014,KYC and payout awareness,payout_gate,operator_review_required,"Draft packet states that KYC may be required for payout and that no payout account setup is authorized here.","Agent assumes payout path or asks for sensitive personal/payment data."
srg-015,Responsible publication guard,disclosure,hard_stop_for_public_action,"Draft packet records no public disclosure and no publication without the program's responsible-publication approval path.","Candidate suggests public post, GitHub issue, social thread, or disclosure before fix/payment/approval."
srg-016,Submission authorization,approval,hard_stop_before_submission,"A separate approved security_report_submission_gate service request exists for the exact program, asset, report, and route.","No exact approved service request exists."
srg-017,Side-effect audit,boundary,required_for_all_packets,"Validation confirms no browser/account/service-request assignment/worker/runtime/security-test/report/public/wallet/payment/external side effects.","Any side effect occurred without exact approval."
