rank,evidence_score,fit,stars,forks,pushed_at,category,repo,url,language,license,decision,gate
1,20,12,99313,11088,2026-06-15T08:24:43Z,browser_agent_runtime,browser-use/browser-use,https://github.com/browser-use/browser-use,Python,,candidate_adapter_after_browser_worker_contract_and_signed_approval,browser_policy_signed_approval_model_api_and_session_gates
2,20,12,91146,5931,2026-06-17T21:27:53Z,deterministic_browser_automation_foundation,microsoft/playwright,https://github.com/microsoft/playwright,TypeScript,,preferred_foundation_for_future_approved_browser_worker,browser_install_start_signed_approval_and_public_action_gates
3,19,12,35057,5868,2026-06-17T20:45:03Z,durable_agent_graph_hitl,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,Python,,reference_checkpoint_interrupts_and_human_review_graphs,no_runtime_adoption_until_apply_guards_and_runtime_start_preflight
4,19,12,21031,1667,2026-06-17T22:38:02Z,durable_execution_runtime,temporalio/temporal,https://github.com/temporalio/temporal,Go,,keep_as_future_durable_orchestration_candidate,runtime_start_preflight_and_signed_operator_decision_required
5,19,12,11428,1919,2026-06-17T22:49:06Z,enterprise_agent_workflows_hitl,microsoft/agent-framework,https://github.com/microsoft/agent-framework,Python,,reference_manager_worker_reviewer_escalation_and_durable_workflows,no_cloud_foundry_runtime_without_scope_cost_and_signed_operator_decision
6,19,11,53824,7531,2026-06-17T21:41:47Z,role_team_orchestration,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,Python,,study_agent_role_crew_patterns_but_keep_sqlite_control_plane,no_dependency_install_no_model_api_no_worker_start
7,18,12,3917,711,2026-06-17T21:29:27Z,mcp_a2a_gateway_registry,IBM/mcp-context-forge,https://github.com/IBM/mcp-context-forge,Python,,reference_gateway_registry_governance_and_federation,no_gateway_process_mcp_tool_call_or_auth_integration_without_approval
8,18,12,3339,546,2026-06-17T19:56:52Z,agentic_proxy_llm_mcp_a2a_gateway,agentgateway/agentgateway,https://github.com/agentgateway/agentgateway,Rust,,reference_unified_egress_gateway_policy_rbac_spend_observability,no_gateway_process_model_traffic_or_tool_traffic_without_signed_operator_approval
9,18,11,27214,4196,2026-06-13T06:18:40Z,agent_sdk_tools_handoffs,openai/openai-agents-python,https://github.com/openai/openai-agents-python,Python,,reference_tool_handoff_guardrail_shapes_for_future_model_backed_workers,model_api_provider_cost_and_secrets_gates_required
10,18,11,23148,1579,2026-06-17T21:50:48Z,browser_agent_sdk,browserbase/stagehand,https://github.com/browserbase/stagehand,TypeScript,,candidate_adapter_after_cloud_local_scope_split,browserbase_api_key_payment_cloud_session_and_browser_start_gates
11,18,11,17819,2224,2026-06-17T09:44:19Z,typed_agent_framework_evals,pydantic/pydantic-ai,https://github.com/pydantic/pydantic-ai,Python,,continue_using_typed_contracts_and_testmodel_before_model_backed_adapters,model_api_dependency_install_and_runtime_start_gates
12,17,11,4021,170,2026-06-17T18:08:53Z,durable_agent_services,restatedev/restate,https://github.com/restatedev/restate,Rust,,reference_journaled_tool_llm_step_recovery,no_server_start_no_container_no_cloud_until_runtime_start_preflight
13,17,10,59040,8905,2026-04-15T11:59:09Z,multi_agent_conversation_framework,microsoft/autogen,https://github.com/microsoft/autogen,Python,,reference_conversation_and_groupchat_patterns,dependency_install_model_api_and_runtime_start_gates
14,17,10,34050,2819,2026-06-10T00:14:20Z,browser_mcp_server,microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,TypeScript,,candidate_read_only_mcp_after_registry_gate,mcp_registry_browser_start_prompt_injection_and_code_execution_surface_review
15,17,10,29283,3039,2026-06-17T21:31:56Z,llm_observability_tracing_eval,langfuse/langfuse,https://github.com/langfuse/langfuse,TypeScript,,reference_trace_eval_dataset_and_cost_observability,no_saas_telemetry_export_without_privacy_and_api_key_approval
16,17,10,23355,3550,2026-06-17T07:46:45Z,mcp_protocol_sdk,modelcontextprotocol/python-sdk,https://github.com/modelcontextprotocol/python-sdk,Python,,reference_mcp_tool_contracts_and_server_client_shapes,mcp_registry_and_tool_call_approval_required
17,17,10,20158,3582,2026-06-17T22:48:51Z,agent_devkit_eval_deploy,google/adk-python,https://github.com/google/adk-python,Python,,study_agent_packaging_eval_and_deployment_patterns,model_api_and_cloud_deployment_gates_required
18,17,10,10178,930,2026-06-17T22:40:57Z,agent_observability_eval,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,Python,,reference_local_eval_trace_and_experiment_analysis,dependency_install_runtime_and_telemetry_gates_required
19,16,10,7382,420,2026-06-17T19:55:20Z,task_queue_worker_orchestration,hatchet-dev/hatchet,https://github.com/hatchet-dev/hatchet,Go,,reference_worker_queue_leases_retries_and_observability,no_worker_pool_or_queue_runtime_start_without_signed_decision
20,16,10,5502,321,2026-06-17T22:13:16Z,event_driven_durable_workflows,inngest/inngest,https://github.com/inngest/inngest,Go,,reference_event_triggered_durable_function_design,no_server_cloud_or_event_runtime_without_runtime_start_preflight
21,16,10,1425,71,2026-06-17T21:39:17Z,durable_workflow_transactions,dbos-inc/dbos-transact-py,https://github.com/dbos-inc/dbos-transact-py,Python,,reference_transactional_workflow_and_recovery_semantics,dependency_install_and_runtime_start_gates_required
22,16,9,22632,2341,2026-06-17T17:20:51Z,workflow_orchestration_observability,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Python,,reference_scheduled_source_refresh_and_stateful_flow_patterns,no_runtime_start_or_cloud_login_without_approval
23,16,8,192956,58638,2026-06-17T22:20:14Z,workflow_automation_market_ops,n8n-io/n8n,https://github.com/n8n-io/n8n,TypeScript,,reference_low_code_workflow_and_credential_boundary_patterns,credential_account_public_action_and_runtime_start_gates_required
24,16,8,145627,22906,2026-06-17T18:21:48Z,agent_app_platform,langgenius/dify,https://github.com/langgenius/dify,TypeScript,,study_app_builder_and_tool_governance_patterns_not_runtime_dependency,docker_cloud_model_api_and_plugin_gates_required
25,15,10,11014,925,2026-03-07T22:34:40Z,human_approval_for_agents,humanlayer/humanlayer,https://github.com/humanlayer/humanlayer,TypeScript,,reference_human_decision_routing_and_approval_ux,public_action_secrets_and_notification_gates_required
26,15,9,9661,999,2026-06-08T20:06:55Z,agent_observability_platform,VoltAgent/voltagent,https://github.com/VoltAgent/voltagent,TypeScript,,reference_agent_dashboard_trace_and_replay_patterns,no_saas_console_dependency_install_or_telemetry_export_without_approval
27,15,9,2532,302,2026-06-15T12:16:30Z,otel_llm_observability,openlit/openlit,https://github.com/openlit/openlit,TypeScript,,reference_open_telemetry_llm_metrics_semantics,no_telemetry_export_or_dependency_install_without_approval
